"start","end","survey_type","survey_id","survey_version","country","community","sex","boat_status","boat_power","boat_length","choice","package_nopackage","fishing_organization","punishment_severity","mpa","age","years_fishing","education","digits","gear_handline","gear_spear","gear_traps","gear_gillnet","gear_mobilenet","gear_statline","gear_buceo","gear_other","other_gear","fishtech_vhf","fishtech_fishfinder","fishtech_survcam","fishtech_catchapp","fishtech_gps","fishtech_vesseltrack","fishtech_other","fishtech_none","other_fishtech","enforcement_community_members","enforcement_village_leader","enforcement_village_gov","enforcement_provincial_gov","enforcement_national_gov","enforcement_none","enforcement_other","restriction_gear","restriction_size","restriction_season","restriction_spacial","restriction_quota","restriction_other","restriction_none","rank_one","rank_two","rank_three","rank_four","income_usd"
"2019-07-03 06:49:04","2019-07-03 07:17:17","data",3029,16,"IND","MAK","M","share_employee","yes",7,1,"package_chosen","yes","strong","no",35,22,"some_hs",0,0,0,1,0,0,0,0,0,"0",0,0,0,0,0,1,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"weather","iuu","trash_pollutin","corruption",213
"2019-07-03 07:22:38","2019-07-03 07:43:16","data",3030,1,"IND","MAK","M","share_employee","yes",7,2,"package_chosen","yes","strong","no",35,6,"some_hs",0,0,0,1,0,0,0,0,0,"0",0,0,0,0,0,1,1,0,"Kompas",0,0,0,1,1,0,0,1,0,0,0,0,0,0,"weather","iuu","trash_pollutin","corruption",426
"2019-07-03 07:44:53","2019-07-03 07:54:36","data",3031,13,"IND","MAK","M","share_employee","yes",8,2,"package_chosen","no","strong","no",29,4,"some_hs",0,0,0,1,0,0,0,0,0,"0",0,0,0,0,0,1,1,0,"Echosounder",0,0,0,1,1,0,0,1,0,0,0,0,0,0,"weather","iuu","trash_pollutin","corruption",142
"2019-07-03 08:00:26","2019-07-03 08:14:23","data",3032,12,"IND","MAK","M","share_employee","yes",8,1,"package_chosen","no","strong","no",37,20,"some_hs",0,0,0,1,0,0,0,0,0,"0",0,0,0,0,0,1,0,0,NA,0,0,0,1,1,0,0,1,0,0,0,0,0,0,"iuu","weather","trash_pollutin","corruption",568
"2019-07-04 03:23:16","2019-07-04 03:41:35","data",3033,1,"IND","MAK","M","own","yes",8,2,"package_chosen","no","strong","no",48,35,"some_hs",0,0,0,1,0,0,0,0,0,"0",0,0,0,0,0,1,0,0,NA,0,0,0,1,1,0,0,1,0,0,0,0,0,0,"iuu","weather","trash_pollutin","corruption",1420
"2019-07-04 03:42:07","2019-07-04 04:05:14","data",3034,2,"IND","MAK","M","own","yes",8,1,"no_package","yes","strong","no",39,25,"some_hs",0,0,0,0,0,0,0,0,1,"Jaring angkat",0,0,0,0,0,0,0,1,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,1,"trash_pollutin","weather","iuu","corruption",213
"2019-07-04 04:06:40","2019-07-04 04:27:27","data",3035,3,"IND","MAK","M","own","yes",8,2,"no_package","no","none","no",32,22,"some_hs",0,0,0,0,0,0,0,0,1,"Jaring angkat",1,1,0,0,0,1,0,0,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,1,"trash_pollutin","weather","iuu","corruption",213
"2019-07-04 04:46:14","2019-07-04 05:07:37","data",3036,3,"IND","MAK","M","own","yes",15,2,"package_chosen","yes","strong","no",39,22,"some_hs",0,0,0,1,0,0,0,0,0,"0",1,1,0,0,0,1,0,0,"Solar panel",0,0,0,1,1,0,0,1,0,0,0,0,0,0,"iuu","weather","trash_pollutin","corruption",1420
"2019-07-04 06:28:05","2019-07-04 06:35:22","data",3037,5,"IND","MAK","M","share_employee","yes",15,2,"package_chosen","no","strong","no",40,21,"some_hs",0,0,0,1,0,0,0,0,0,"Bubu",1,1,0,0,0,1,0,0,NA,0,0,0,1,1,0,0,1,0,0,0,0,0,0,"weather","iuu","trash_pollutin","corruption",568
"2019-07-04 06:37:54","2019-07-04 06:44:48","data",3038,6,"IND","MAK","M","own","yes",8,2,"no_package","no","none","no",35,20,"some_hs",0,0,0,0,0,1,0,0,1,"Jaring tarik",0,0,0,0,0,0,0,1,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,1,"trash_pollutin","weather","iuu","corruption",142
